Model Names,num_units,dropout,optimizer,learning_rate,IMAGE_SIZE,BATCH_SIZE,DATASET_SIZE,MAX_EPOCHS,K_FOLDS,Accuracy,K_accuracy,Precision,Recall,f1 Score,True Negatives, False Positives,False Negatives,True Positives,Training Time
"['trained classifiers/ResNet50V2-Binary-Fold-0-20220311-160033.h5', 'trained classifiers/ResNet50V2-Binary-Fold-1-20220311-160915.h5', 'trained classifiers/ResNet50V2-Binary-Fold-2-20220311-161535.h5', 'trained classifiers/ResNet50V2-Binary-Fold-3-20220311-162048.h5', 'trained classifiers/ResNet50V2-Binary-Fold-4-20220311-162453.h5']",64,0.1,adam,0.0005,224,32,1500,20,5,0.933,0.9329999923706055,0.9382439941968798,0.93,0.9327989704119335,187,12,14,186,570.5091090481999
"['trained classifiers/ResNet50V2-Binary-Fold-0-20220311-163249.h5', 'trained classifiers/ResNet50V2-Binary-Fold-1-20220311-164017.h5', 'trained classifiers/ResNet50V2-Binary-Fold-2-20220311-164531.h5', 'trained classifiers/ResNet50V2-Binary-Fold-3-20220311-165223.h5', 'trained classifiers/ResNet50V2-Binary-Fold-4-20220311-165659.h5']",64,0.1,adam,0.001,224,32,1500,20,5,0.918,0.9179999947547912,0.9119157130837622,0.9279999999999999,0.9183668594660037,181,18,14,185,550.385400536
"['trained classifiers/ResNet50V2-Binary-Fold-0-20220311-170349.h5', 'trained classifiers/ResNet50V2-Binary-Fold-1-20220311-171459.h5', 'trained classifiers/ResNet50V2-Binary-Fold-2-20220311-172615.h5', 'trained classifiers/ResNet50V2-Binary-Fold-3-20220311-173513.h5', 'trained classifiers/ResNet50V2-Binary-Fold-4-20220311-174517.h5']",64,0.1,sgd,0.0005,224,32,1500,20,5,0.719,0.7189999938011169,0.8006780205248211,0.581,0.6724027348978237,171,28,83,116,942.1879977386
"['trained classifiers/ResNet50V2-Binary-Fold-0-20220311-175629.h5', 'trained classifiers/ResNet50V2-Binary-Fold-1-20220311-180632.h5', 'trained classifiers/ResNet50V2-Binary-Fold-2-20220311-181739.h5', 'trained classifiers/ResNet50V2-Binary-Fold-3-20220311-182856.h5', 'trained classifiers/ResNet50V2-Binary-Fold-4-20220311-184007.h5']",64,0.1,sgd,0.001,224,32,1500,20,5,0.7815,0.7814999938011169,0.8942647464983231,0.639,0.7449200549548767,184,15,72,127,958.4534939445991
"['trained classifiers/ResNet50V2-Binary-Fold-0-20220311-185009.h5', 'trained classifiers/ResNet50V2-Binary-Fold-1-20220311-185701.h5', 'trained classifiers/ResNet50V2-Binary-Fold-2-20220311-190213.h5', 'trained classifiers/ResNet50V2-Binary-Fold-3-20220311-190830.h5', 'trained classifiers/ResNet50V2-Binary-Fold-4-20220311-191234.h5']",64,0.2,adam,0.0005,224,32,1500,20,5,0.9510000000000001,0.9510000228881836,0.9770723853165469,0.9239999999999999,0.9487475550673955,195,4,15,184,557.1047150749997
"['trained classifiers/ResNet50V2-Binary-Fold-0-20220311-192135.h5', 'trained classifiers/ResNet50V2-Binary-Fold-1-20220311-193008.h5', 'trained classifiers/ResNet50V2-Binary-Fold-2-20220311-193628.h5', 'trained classifiers/ResNet50V2-Binary-Fold-3-20220311-194349.h5', 'trained classifiers/ResNet50V2-Binary-Fold-4-20220311-195331.h5']",64,0.2,adam,0.001,224,32,1500,20,5,0.9325,0.9324999928474427,0.9556796152778115,0.909,0.929318618260597,191,8,18,181,708.6948503
"['trained classifiers/ResNet50V2-Binary-Fold-0-20220311-200130.h5', 'trained classifiers/ResNet50V2-Binary-Fold-1-20220311-201243.h5', 'trained classifiers/ResNet50V2-Binary-Fold-2-20220311-202356.h5', 'trained classifiers/ResNet50V2-Binary-Fold-3-20220311-203515.h5', 'trained classifiers/ResNet50V2-Binary-Fold-4-20220311-204638.h5']",64,0.2,sgd,0.0005,224,32,1500,20,5,0.769,0.7690000057220459,0.8485877348984878,0.656,0.739241116493456,176,23,68,131,1008.1042902270004
"['trained classifiers/ResNet50V2-Binary-Fold-0-20220311-205801.h5', 'trained classifiers/ResNet50V2-Binary-Fold-1-20220311-210925.h5', 'trained classifiers/ResNet50V2-Binary-Fold-2-20220311-212047.h5', 'trained classifiers/ResNet50V2-Binary-Fold-3-20220311-213209.h5', 'trained classifiers/ResNet50V2-Binary-Fold-4-20220311-214149.h5']",64,0.2,sgd,0.001,224,32,1500,20,5,0.8255,0.8254999876022339,0.9013479552362531,0.73,0.8056590512320267,184,15,54,146,984.5469358207993
"['trained classifiers/ResNet50V2-Binary-Fold-0-20220311-215314.h5', 'trained classifiers/ResNet50V2-Binary-Fold-1-20220311-215942.h5', 'trained classifiers/ResNet50V2-Binary-Fold-2-20220311-220642.h5', 'trained classifiers/ResNet50V2-Binary-Fold-3-20220311-221307.h5', 'trained classifiers/ResNet50V2-Binary-Fold-4-20220311-222146.h5']",128,0.1,adam,0.0005,224,32,1500,20,5,0.948,0.9479999899864197,0.9688772687818952,0.926,0.945877381940734,194,6,14,185,646.8567440512
"['trained classifiers/ResNet50V2-Binary-Fold-0-20220311-222949.h5', 'trained classifiers/ResNet50V2-Binary-Fold-1-20220311-223505.h5', 'trained classifiers/ResNet50V2-Binary-Fold-2-20220311-224340.h5', 'trained classifiers/ResNet50V2-Binary-Fold-3-20220311-224958.h5', 'trained classifiers/ResNet50V2-Binary-Fold-4-20220311-225256.h5']",128,0.1,adam,0.001,224,32,1500,20,5,0.9035,0.9034999966621399,0.9349101572625239,0.872,0.890260012780177,187,13,25,174,531.6288859271983
"['trained classifiers/ResNet50V2-Binary-Fold-0-20220311-225947.h5', 'trained classifiers/ResNet50V2-Binary-Fold-1-20220311-231027.h5', 'trained classifiers/ResNet50V2-Binary-Fold-2-20220311-232031.h5', 'trained classifiers/ResNet50V2-Binary-Fold-3-20220311-233148.h5', 'trained classifiers/ResNet50V2-Binary-Fold-4-20220311-234259.h5']",128,0.1,sgd,0.0005,224,32,1500,20,5,0.752,0.7520000100135803,0.850691823899371,0.617,0.7111141452040044,177,22,76,123,973.0580627802003
"['trained classifiers/ResNet50V2-Binary-Fold-0-20220311-235411.h5', 'trained classifiers/ResNet50V2-Binary-Fold-1-20220312-000524.h5', 'trained classifiers/ResNet50V2-Binary-Fold-2-20220312-001642.h5', 'trained classifiers/ResNet50V2-Binary-Fold-3-20220312-002758.h5', 'trained classifiers/ResNet50V2-Binary-Fold-4-20220312-003807.h5']",128,0.1,sgd,0.001,224,32,1500,20,5,0.7995,0.7995000004768371,0.8854696812137066,0.6880000000000001,0.7736421274586776,182,17,62,137,946.2120102045999
"['trained classifiers/ResNet50V2-Binary-Fold-0-20220312-004711.h5', 'trained classifiers/ResNet50V2-Binary-Fold-1-20220312-005440.h5', 'trained classifiers/ResNet50V2-Binary-Fold-2-20220312-005922.h5', 'trained classifiers/ResNet50V2-Binary-Fold-3-20220312-011058.h5', 'trained classifiers/ResNet50V2-Binary-Fold-4-20220312-011911.h5']",128,0.2,adam,0.0005,224,32,1500,20,5,0.931,0.9309999942779541,0.9823839125385172,0.878,0.9254645191398211,196,3,24,175,689.298902815998
"['trained classifiers/ResNet50V2-Binary-Fold-0-20220312-012611.h5', 'trained classifiers/ResNet50V2-Binary-Fold-1-20220312-013019.h5', 'trained classifiers/ResNet50V2-Binary-Fold-2-20220312-014150.h5', 'trained classifiers/ResNet50V2-Binary-Fold-3-20220312-014708.h5', 'trained classifiers/ResNet50V2-Binary-Fold-4-20220312-015441.h5']",128,0.2,adam,0.001,224,32,1500,20,5,0.8975,0.8975000023841858,0.9110029706671812,0.873,0.8894555707202053,184,15,25,174,656.5901534002012
"['trained classifiers/ResNet50V2-Binary-Fold-0-20220312-020316.h5', 'trained classifiers/ResNet50V2-Binary-Fold-1-20220312-021431.h5', 'trained classifiers/ResNet50V2-Binary-Fold-2-20220312-022547.h5', 'trained classifiers/ResNet50V2-Binary-Fold-3-20220312-023638.h5', 'trained classifiers/ResNet50V2-Binary-Fold-4-20220312-024807.h5']",128,0.2,sgd,0.0005,224,32,1500,20,5,0.7535000000000001,0.7535000085830689,0.861865658421386,0.603,0.7087818943500936,180,19,79,120,1002.8862127967993
"['trained classifiers/ResNet50V2-Binary-Fold-0-20220312-025930.h5', 'trained classifiers/ResNet50V2-Binary-Fold-1-20220312-030939.h5', 'trained classifiers/ResNet50V2-Binary-Fold-2-20220312-031913.h5', 'trained classifiers/ResNet50V2-Binary-Fold-3-20220312-032529.h5', 'trained classifiers/ResNet50V2-Binary-Fold-4-20220312-033653.h5']",128,0.2,sgd,0.001,224,32,1500,20,5,0.8,0.8,0.8596250361967401,0.716,0.7794053401572688,176,23,56,143,870.9133253623993
